UCBID,SiteCode,Site,Pair ,SiteType,PairID,TaxaA,Group,TaxaB,Category,SpeciesName,Rough ID, D15N, D13C, D34S
F1.0359,BR,Browns,P1,Ref,P1_Ref,Corbicula fluminea,Invertebrate,Corbicula fluminea,Bivalve,Corbicula fluminea,Corbicula fluminea,9.153870309,-28.2224632,9.624077281
F2.0244,BR,Browns,P1,Ref,P1_Ref,Corbicula fluminea,Invertebrate,Corbicula fluminea,Bivalve,Corbicula fluminea,Corbicula fluminea,10.87005035,-26.17142881,10.06639579
F2.0274,BR,Browns,P1,Ref,P1_Ref,Corbicula fluminea,Invertebrate,Corbicula fluminea,Bivalve,Corbicula fluminea,Corbicula fluminea,10.74766655,-26.27756327,12.99323935
F2.0310,BR,Browns,P1,Ref,P1_Ref,Corbicula fluminea,Invertebrate,Corbicula fluminea,Bivalve,Corbicula fluminea,Corbicula fluminea,9.09959756,-27.1927227,11.01662922
F1.0366,BR,Browns,P1,Ref,P1_Ref,Gammarus sp. ,Invertebrate,Gammarus sp. ,Amphipod,Gammarus sp. ,Gammarus New,10.88430193,-24.96609892,13.42958812
F1.0081,BR,Browns,P1,Ref,P1_Ref,Gammarus sp. ,Invertebrate,Gammarus sp. ,Amphipod,Gammarus sp. ,Gammarus New,8.848922018,-27.1048151,15.97389666
F1.0334,BR,Browns,P1,Ref,P1_Ref,Gammarus sp. ,Invertebrate,Gammarus sp. ,Amphipod,Gammarus sp. ,Gammarus New,9.652751373,-23.97069644,11.28302824
F2.0178,BR,Browns,P1,Ref,P1_Ref,Gammarus sp. ,Invertebrate,Gammarus sp. ,Amphipod,Gammarus sp. ,Gammarus New,12.5798573,-24.82830606,17.55835338
F2.0266,BR,Browns,P1,Ref,P1_Ref,Gammarus sp. ,Invertebrate,Gammarus sp. ,Amphipod,Gammarus sp. ,Gammarus New,11.101774,-22.49650658,15.57475459
F2.0271,BR,Browns,P1,Ref,P1_Ref,Gammarus sp. ,Invertebrate,Gammarus sp. ,Amphipod,Gammarus sp. ,Gammarus New,12.50295063,-19.64864489,14.41431845
F1.0368,BR,Browns,P1,Ref,P1_Ref,Gnorimosphaeroma oregonense,Invertebrate,Gnorimosphaeroma oregonense,Isopod,Gnorimosphaeroma oregonense,Gnorimosphaeroma oregonense,11.59547393,-23.95270724,17.62594936
F1.0335,BR,Browns,P1,Ref,P1_Ref,Gnorimosphaeroma oregonense,Invertebrate,Gnorimosphaeroma oregonense,Isopod,Gnorimosphaeroma oregonense,Gnorimosphaeroma oregonense,10.8855192,-22.70245774,16.7766121
F1.0101,BR,Browns,P1,Ref,P1_Ref,Gnorimosphaeroma oregonense,Invertebrate,Gnorimosphaeroma oregonense,Isopod,Gnorimosphaeroma oregonense,Gnorimosphaeroma oregonense,9.5570304,-22.01387108,17.91930116
F2.0247,BR,Browns,P1,Ref,P1_Ref,Gnorimosphaeroma oregonense,Invertebrate,Gnorimosphaeroma oregonense,Isopod,Gnorimosphaeroma oregonense,Gnorimosphaeroma oregonense,11.1148447,-24.03302209,18.48383494
F2.0259,BR,Browns,P1,Ref,P1_Ref,Gnorimosphaeroma oregonense,Invertebrate,Gnorimosphaeroma oregonense,Isopod,Gnorimosphaeroma oregonense,Gnorimosphaeroma oregonense,9.387223412,-24.18999223,18.75615516
F2.0289,BR,Browns,P1,Ref,P1_Ref,Gnorimosphaeroma oregonense,Invertebrate,Gnorimosphaeroma oregonense,Isopod,Gnorimosphaeroma oregonense,Gnorimosphaeroma oregonense,9.260524159,-20.16299765,18.66557433
F2.0177,BR,Browns,P1,Ref,P1_Ref,Mysida,Invertebrate,Mysida,Mysid,Mysida,Mysida,12.46267711,-23.97221026,14.5031146
F1.0396,BR,Browns,P1,Ref,P1_Ref,Nereididae,Invertebrate,Nereididae,Annelid ,Nereididae,Nereididae,13.0515562,-23.7716899,12.01776879
F2.0270/0303,BR,Browns,P1,Ref,P1_Ref,Nereididae,Invertebrate,Nereididae,Annelid ,Nereididae,Nereididae,12.65696329,-23.86155269,14.15883118
F2.0273,BR,Browns,P1,Ref,P1_Ref,Nereididae,Invertebrate,Nereididae,Annelid ,Nereididae,Nereididae,14.32634892,-20.68039659,15.76095281
F2.0302,BR,Browns,P1,Ref,P1_Ref,Nereididae,Invertebrate,Nereididae,Annelid ,Nereididae,Nereididae,13.44741092,-23.27337278,15.29687539
F2.0248,BR,Browns,P1,Ref,P1_Ref,Annelid (non-nereid),Invertebrate,Annelid (non-nereid),Annelid ,Oligochaeta sp.,Oligochaeta - unknown,11.8953496,-29.52004282,6.485288943
F2.0286,BR,Browns,P1,Ref,P1_Ref,Annelid (non-nereid),Invertebrate,Annelid (non-nereid),Annelid ,Oligochaeta sp.,Oligochaeta - unknown,9.99529246,-22.71609723,12.77873706
F1.0352/0082/0370,BR,Browns,P1,Ref,P1_Ref,Annelid (non-nereid),Invertebrate,Annelid (non-nereid),Annelid ,Polychaeta sp. ,Polychaeta ,10.69911872,-25.67360505,9.604784755
F2.0277/0309,BR,Browns,P1,Ref,P1_Ref,Potamocorbula amurensis,Invertebrate,Potamocorbula amurensis,Bivalve,Potamocorbula amurensis,Potamocorbula amurensis,10.71717698,-24.90033823,13.65576829
F1.0333,BR,Browns,P1,Ref,P1_Ref,Sinocorophium sp.,Invertebrate,Sinocorophium sp.,Amphipod,Sinocorophium,Sinocorophium,8.641528269,-25.09702034,12.54690803
F1.0350/0354,BR,Browns,P1,Ref,P1_Ref,Sinocorophium sp.,Invertebrate,Sinocorophium sp.,Amphipod,Sinocorophium,Sinocorophium,9.796644325,-24.56334069,14.40249056
