Model Output,Taxa,Source,SiteCode,Site,Pair ,SiteType,PairID,Mean,SD,2.50%,5%,25%,50%,75%,95%,97.50%
p.Annelid (non-nereid).Emergent,Annelid (non-nereid),Emergent,BR,Browns,P1,Ref,P1_Ref,0.175,0.153,0.007,0.012,0.057,0.134,0.248,0.49,0.581
p.Corbicula fluminea.Emergent,Corbicula fluminea,Emergent,BR,Browns,P1,Ref,P1_Ref,0.199,0.215,0.003,0.005,0.036,0.117,0.287,0.684,0.809
p.Gammarus sp. .Emergent,Gammarus sp,Emergent,BR,Browns,P1,Ref,P1_Ref,0.159,0.164,0.003,0.005,0.035,0.098,0.229,0.514,0.605
p.Gnorimosphaeroma oregonense.Emergent,Gnorimosphaeroma oregonense,Emergent,BR,Browns,P1,Ref,P1_Ref,0.146,0.143,0.003,0.006,0.034,0.095,0.222,0.445,0.511
p.Mysida.Emergent,Mysida,Emergent,BR,Browns,P1,Ref,P1_Ref,0.197,0.196,0.003,0.006,0.043,0.13,0.294,0.61,0.71
p.Nereididae.Emergent,Nereididae,Emergent,BR,Browns,P1,Ref,P1_Ref,0.127,0.124,0.003,0.007,0.033,0.084,0.186,0.384,0.458
p.Potamocorbula amurensis.Emergent,Potamocorbula amurensis,Emergent,BR,Browns,P1,Ref,P1_Ref,0.219,0.223,0.003,0.006,0.042,0.135,0.336,0.701,0.792
p.Sinocorophium sp..Emergent,Sinocorophium sp,Emergent,BR,Browns,P1,Ref,P1_Ref,0.279,0.272,0.003,0.006,0.046,0.172,0.468,0.822,0.881
p.Annelid (non-nereid).FAV,Annelid (non-nereid),FAV,BR,Browns,P1,Ref,P1_Ref,0.026,0.024,0.001,0.002,0.008,0.018,0.035,0.075,0.09
p.Corbicula fluminea.FAV,Corbicula fluminea,FAV,BR,Browns,P1,Ref,P1_Ref,0.027,0.035,0,0.001,0.004,0.013,0.037,0.096,0.126
p.Gammarus sp. .FAV,Gammarus sp,FAV,BR,Browns,P1,Ref,P1_Ref,0.026,0.033,0,0.001,0.005,0.014,0.033,0.092,0.125
p.Gnorimosphaeroma oregonense.FAV,Gnorimosphaeroma oregonense,FAV,BR,Browns,P1,Ref,P1_Ref,0.029,0.04,0,0.001,0.005,0.014,0.037,0.113,0.141
p.Mysida.FAV,Mysida,FAV,BR,Browns,P1,Ref,P1_Ref,0.039,0.055,0,0.001,0.005,0.018,0.048,0.155,0.215
p.Nereididae.FAV,Nereididae,FAV,BR,Browns,P1,Ref,P1_Ref,0.024,0.033,0,0.001,0.004,0.012,0.03,0.088,0.116
p.Potamocorbula amurensis.FAV,Potamocorbula amurensis,FAV,BR,Browns,P1,Ref,P1_Ref,0.037,0.052,0,0.001,0.005,0.017,0.046,0.147,0.199
p.Sinocorophium sp..FAV,Sinocorophium sp,FAV,BR,Browns,P1,Ref,P1_Ref,0.037,0.049,0,0.001,0.005,0.016,0.048,0.145,0.183
p.Annelid (non-nereid).Phyto,Annelid (non-nereid),Phyto,BR,Browns,P1,Ref,P1_Ref,0.575,0.144,0.217,0.285,0.502,0.604,0.677,0.762,0.784
p.Corbicula fluminea.Phyto,Corbicula fluminea,Phyto,BR,Browns,P1,Ref,P1_Ref,0.654,0.197,0.117,0.227,0.569,0.699,0.795,0.893,0.917
p.Gammarus sp. .Phyto,Gammarus sp,Phyto,BR,Browns,P1,Ref,P1_Ref,0.412,0.131,0.103,0.153,0.341,0.431,0.501,0.595,0.628
p.Gnorimosphaeroma oregonense.Phyto,Gnorimosphaeroma oregonense,Phyto,BR,Browns,P1,Ref,P1_Ref,0.27,0.119,0.05,0.072,0.183,0.273,0.354,0.467,0.501
p.Mysida.Phyto,Mysida,Phyto,BR,Browns,P1,Ref,P1_Ref,0.374,0.176,0.059,0.09,0.245,0.373,0.492,0.672,0.736
p.Nereididae.Phyto,Nereididae,Phyto,BR,Browns,P1,Ref,P1_Ref,0.313,0.113,0.084,0.113,0.239,0.316,0.391,0.497,0.523
p.Potamocorbula amurensis.Phyto,Potamocorbula amurensis,Phyto,BR,Browns,P1,Ref,P1_Ref,0.478,0.205,0.076,0.12,0.34,0.487,0.629,0.806,0.847
p.Sinocorophium sp..Phyto,Sinocorophium sp,Phyto,BR,Browns,P1,Ref,P1_Ref,0.504,0.218,0.044,0.091,0.348,0.548,0.665,0.803,0.839
p.Annelid (non-nereid).SAV/Algae,Annelid (non-nereid),SAV/Algae,BR,Browns,P1,Ref,P1_Ref,0.224,0.067,0.104,0.118,0.177,0.221,0.268,0.338,0.361
p.Corbicula fluminea.SAV/Algae,Corbicula fluminea,SAV/Algae,BR,Browns,P1,Ref,P1_Ref,0.121,0.073,0.015,0.022,0.065,0.109,0.168,0.258,0.287
p.Gammarus sp. .SAV/Algae,Gammarus sp,SAV/Algae,BR,Browns,P1,Ref,P1_Ref,0.403,0.098,0.19,0.231,0.345,0.411,0.469,0.552,0.576
