Sample ID,Date,Season,Year,Collector,PlantCondition,PlantPortion,WhoCleaned/Dried,Strata,Habitat,SiteCode,Site,Pair,SiteType,PairID,Taxa,SampleType,Species,SppAb,Iso_Triplicate?,TrayName,%N,ugN ,D15N ,%C,mgC,D13C ,%S,ugS,D34S ,CSIB_Notes,UCB_Notes,Inventory_Notes
NP20.020,5/1/20,Summer,2020,USGS,Pretty contaminated and but one uncontaminated,Stem,USGS,EXT5,Exterior,BR,Browns,P1,Ref,P1_Ref,Emergent,Emergent,Schoenoplectus acutus,Tule,0,,1.260828013,39.4639168,8.54671608,45.68945687,1.43008,-27.2136322,0.12740639,3.98782,2.26287098,0,0,0
NP20.066,5/1/20,Summer,2020,USGS,green,stems,USGS,EXT5,Exterior,SH,Sherman,P1,Res,P1_Res,Emergent,Emergent,Schoenoplectus acutus,Tule,0,,0.74074925,23.1113766,10.91257855,46.84923077,1.461696,-27.38803327,0.125223036,1.897128994,9.217819527,S rerun sample,0,0
NP21.172,5/1/21,Summer,2021,USGS,Green,Only Large Stem Pieces,USGS,EXT2,Exterior,SH,Sherman,P1,Res,P1_Res,Emergent,Emergent,Schoenoplectus acutus,Tule,Y,,0.355441487,11.06339307,9.271569648,43.42408282,1.351618233,-28.67629589,0.174697294,2.644789968,11.2167083,S rerun samples,0,0
NP21.228,5/1/21,Summer,2021,USGS,Good,stem,USGS,EXT4,Exterior,BR,Browns,P1,Ref,P1_Ref,Emergent,Emergent,Schoenoplectus californicus,Tule,0,,1.70914566,53.752631,2.281459801,45.98727186,1.4462997,-26.57663331,0.281428378,8.8509225,-0.918748838,0,0,0
NP21.142,5/1/21,Summer,2021,USGS,green yellow,stem,USGS,EXT1,Exterior,SH,Sherman,P1,Res,P1_Res,Emergent,Emergent,Schoenoplectus californicus,Tule,0,,1.358585381,41.7085712,9.927794755,45.2932215,1.3905019,-26.44639298,0.303524638,4.583222028,14.5016824,S rerun sample,0,0
NP20.271,5/13/20,Summer,2020,ICF,Green,Leaves,UCB,EXT3,Exterior,BR,Browns,P1,Ref,P1_Ref,Emergent,Emergent,Typha,Typha,0,,2.640949663,82.265582,7.898090497,46.10003852,1.4360162,-28.71297857,0.178049278,5.546235,11.28056004,0,0,IDed after frozen by UCB
NP20.274,5/13/20,Summer,2020,ICF,Green,Leaves,UCB,EXT1,Exterior,BR,Browns,P1,Ref,P1_Ref,Emergent,Emergent,Typha,Typha,0,,4.080860985,125.0783892,8.203235172,49.2877553,1.5106697,-27.48629639,0.24082708,7.38135,10.3092476,0,"Originally written as NP20.214, but NP20.214 is a POFO from Ryer. Believe it is actually NP20.274 which is a Typha from BREXT1, so changed to NP20.274 ",IDed after frozen by UCB
NP21.089,6/25/21,Summer,2021,USGS/UCB,0,0,UCB,EXT3,Exterior,BR,Browns,P1,Ref,P1_Ref,Emergent,Emergent,Typha,Typha,0,,1.951974375,60.9016005,6.245447272,49.32307692,1.53888,-28.24715673,0.159871795,4.988,8.829655884,0,0,0
NP20.232,5/19/20,Summer,2020,ICF,Green,Leaves,UCB,EXT4,Exterior,SH,Sherman,P1,Res,P1_Res,Emergent,Emergent,Typha,Typha,0,,3.745775517,113.1224206,9.362028637,49.36582781,1.490848,-28.08563755,0.203452649,6.14427,5.99391923,0,0,"IDed after frozen by UCB, confirmed typha by mdp because both phrag and typha present"
NP21.112,7/6/21,Summer,2021,USGS/UCB,0,0,UCB,EXT2,Exterior,SH,Sherman,P1,Res,P1_Res,Emergent,Emergent,Typha,Typha,0,,1.848222755,57.017672,7.384732702,51.14813614,1.57792,-28.94476101,0.12759222,3.93622,5.160633547,0,0,0
